Correlation,FDR,Feature 1,Feature 2
continuous,continuous,string,string
,,meta,meta
0.35,2.2822436963086665e-35,203434_s_at,209395_at
0.35,2.2890081961767242e-35,202338_at,209395_at
0.35,2.3008521389713693e-35,209395_at,214333_x_at
0.35,2.3564782899516638e-35,209395_at,220605_s_at
0.35,2.3680232769888072e-35,204484_at,209395_at
0.35,2.3732338412372996e-35,209395_at,211939_x_at
0.35,2.3808458847749177e-35,209395_at,210253_at
0.35,2.3952171343560297e-35,202651_at,209395_at
0.35,2.3990139093134934e-35,209395_at,218973_at
0.35,2.434819618635479e-35,207391_s_at,209395_at
0.35,2.4475435389948314e-35,209395_at,209503_s_at
0.35,2.4506099271851774e-35,209395_at,211941_s_at
0.35,2.4518968911863144e-35,209395_at,212281_s_at
0.35,2.4573021432125496e-35,206023_at,209395_at
0.35,2.4634140218546704e-35,203417_at,209395_at
0.35,2.4823652993669546e-35,207265_s_at,209395_at
0.35,2.4981488550703915e-35,209395_at,56256_at
0.35,2.536687444006188e-35,209395_at,219855_at
0.35,2.59925190263913e-35,200962_at,209395_at
0.35,2.6052457293788064e-35,209395_at,222243_s_at
0.35,2.613151901632496e-35,209395_at,217317_s_at
0.35,2.6133875825755777e-35,209395_at,210076_x_at
0.35,2.67924650644105e-35,209311_at,209395_at
0.35,2.7223138347553656e-35,209395_at,214760_at
0.35,2.779523192243764e-35,209395_at,220840_s_at
0.35,2.8097361088627716e-35,209395_at,212862_at
0.35,2.827455056740378e-35,209395_at,212778_at
0.35,2.8487856851272597e-35,209395_at,218565_at
0.35,2.864296679737652e-35,200899_s_at,209395_at
0.35,2.903556770371529e-35,203189_s_at,209395_at
0.35,2.9191362576042333e-35,209395_at,218771_at
0.35,2.9382731140131016e-35,209395_at,218101_s_at
0.35,2.9635462655118035e-35,200793_s_at,209395_at
0.35,2.9668355448943644e-35,208852_s_at,209395_at
0.35,3.030996693421207e-35,209395_at,217748_at
0.35,3.0401941048385006e-35,202161_at,209395_at
0.35,3.0614122786167193e-35,209395_at,220934_s_at
0.35,3.0805722510108157e-35,209395_at,212387_at
0.35,3.131676055434948e-35,209395_at,213402_at
0.35,3.139789020616699e-35,209395_at,220305_at
0.35,3.1406378560671964e-35,209395_at,218476_at
0.35,3.1406378560671964e-35,209395_at,212294_at
0.35,3.147000908788279e-35,201127_s_at,209395_at
0.35,3.1579428100013347e-35,209395_at,219423_x_at
0.35,3.1611401861986355e-35,203577_at,209395_at
0.35,3.1726257351650983e-35,209395_at,212644_s_at
0.35,3.1735023304861656e-35,209395_at,213878_at
0.35,3.183818154836413e-35,203521_s_at,209395_at
0.35,3.198755110996257e-35,209395_at,210976_s_at
0.35,3.237869728775937e-35,209395_at,218315_s_at
0.349,3.285832327318908e-35,209395_at,212738_at
0.349,3.286965769783069e-35,201021_s_at,209395_at
0.349,3.3039050773223936e-35,209395_at,214696_at
0.349,3.305692935148621e-35,209395_at,213445_at
0.349,3.332101315460133e-35,207657_x_at,209395_at
0.349,3.343591633011848e-35,209395_at,209792_s_at
0.349,3.359458601618088e-35,207253_s_at,209395_at
0.349,3.370260977847397e-35,204355_at,209395_at
0.349,3.3765329423765154e-35,209395_at,212482_at
0.349,3.3895750871069805e-35,204584_at,209395_at
0.349,3.427639407136576e-35,208837_at,209395_at
0.349,3.44962383686427e-35,209395_at,210144_at
0.349,3.452870427249591e-35,206414_s_at,209395_at
0.349,3.4842215889877524e-35,209395_at,221882_s_at
0.349,3.519427471107158e-35,209395_at,221680_s_at
0.349,3.5229510915848345e-35,209395_at,221962_s_at
0.349,3.5498586838159165e-35,209395_at,209945_s_at
0.349,3.555665069885403e-35,200805_at,209395_at
0.349,3.5828906132563974e-35,209395_at,210541_s_at
0.349,3.5865101477172607e-35,209395_at,213302_at
0.349,3.606554082726282e-35,205417_s_at,209395_at
0.349,3.624506819940289e-35,209395_at,218773_s_at
0.349,3.690477776288394e-35,209395_at,209974_s_at
0.349,3.7168223653968654e-35,205987_at,209395_at
0.349,3.7354471163699454e-35,207983_s_at,209395_at
0.349,3.802780240806135e-35,206860_s_at,209395_at
0.349,3.8622876547829176e-35,202359_s_at,209395_at
0.349,3.878191778387104e-35,209395_at,212813_at
0.349,3.886545940978884e-35,204368_at,209395_at
0.349,3.890365393185296e-35,202512_s_at,209395_at
0.349,3.8918754534316053e-35,209395_at,218187_s_at
0.349,3.8972842150257885e-35,209395_at,215777_at
0.349,3.924997574735274e-35,205040_at,209395_at
0.349,3.9300034737277234e-35,209395_at,219752_at
0.349,4.1125211568406463e-35,209395_at,47550_at
0.349,4.1203484109628017e-35,209395_at,215184_at
0.349,4.1336889103407673e-35,204818_at,209395_at
0.349,4.1455993900590995e-35,209395_at,218196_at
0.349,4.198356129384103e-35,209395_at,214255_at
0.349,4.2050142442258913e-35,202819_s_at,209395_at
0.349,4.2984942931861994e-35,209395_at,215147_at
0.349,4.3511147754790864e-35,201188_s_at,209395_at
0.349,4.3624926292648235e-35,209395_at,217932_at
0.349,4.369800353676711e-35,209395_at,218347_at
0.349,4.402357297752281e-35,209395_at,212567_s_at
0.349,4.4572366112651947e-35,209395_at,212379_at
0.349,4.501849710672076e-35,209395_at,210338_s_at
0.349,4.5284892944109287e-35,209252_at,209395_at
0.349,4.603447210869519e-35,200923_at,209395_at
0.349,4.66433478596131e-35,209395_at,213405_at
0.349,4.718273775839846e-35,209395_at,221291_at
0.349,4.744472761120387e-35,209395_at,221559_s_at
0.349,4.833739229539601e-35,202764_at,209395_at
0.349,4.840064768457822e-35,208611_s_at,209395_at
0.349,4.908936705070075e-35,201357_s_at,209395_at
0.349,4.922588240054529e-35,209395_at,213736_at
0.349,4.963789606052377e-35,209395_at,219311_at
0.349,4.995070197884583e-35,209395_at,47105_at
0.349,5.107816497433687e-35,209395_at,211286_x_at
0.349,5.120695880723601e-35,203814_s_at,209395_at
0.349,5.122337381189142e-35,209395_at,218782_s_at
0.349,5.179971619330335e-35,209395_at,219662_at
0.349,5.197077609335564e-35,209395_at,57739_at
0.348,5.282321215067702e-35,206809_s_at,209395_at
0.348,5.310781149962653e-35,209395_at,212746_s_at
0.348,5.370988128207363e-35,209395_at,209873_s_at
0.348,5.375935759560397e-35,202923_s_at,209395_at
0.348,5.445536809387671e-35,209395_at,221499_s_at
0.348,5.48881316766625e-35,209395_at,212754_s_at
0.348,5.490298950821445e-35,207547_s_at,209395_at
0.348,5.500519867044126e-35,209395_at,213053_at
0.348,5.526400699549066e-35,204557_s_at,209395_at
0.348,5.555259130145489e-35,209395_at,211197_s_at
0.348,5.596563383431619e-35,200777_s_at,209395_at
0.348,5.598215563430761e-35,207088_s_at,209395_at
0.348,5.716605865916413e-35,201536_at,209395_at
0.348,5.726634963681182e-35,209395_at,214454_at
0.348,5.815685659557286e-35,209395_at,212890_at
0.348,5.838938993217411e-35,209395_at,217968_at
0.348,6.058040198893984e-35,207023_x_at,209395_at
0.348,6.096685168196984e-35,209395_at,221892_at
0.348,6.098504136211091e-35,202104_s_at,209395_at
0.348,6.115065149465279e-35,209395_at,212807_s_at
0.348,6.156913131548208e-35,209395_at,221561_at
0.348,6.210069919555394e-35,209362_at,209395_at
0.348,6.241205556298718e-35,209395_at,213217_at
0.348,6.245954659240258e-35,209395_at,218520_at
0.348,6.338383838311481e-35,209395_at,214976_at
0.348,6.347649756918943e-35,205014_at,209395_at
0.348,6.347883401740893e-35,203338_at,209395_at
0.348,6.348472484211541e-35,209395_at,215293_s_at
0.348,6.364332318775656e-35,209395_at,218160_at
0.348,6.367732227495982e-35,206956_at,209395_at
0.348,6.420428711659163e-35,200760_s_at,209395_at
0.348,6.487486969272128e-35,209395_at,219167_at
0.348,6.513234606467204e-35,209395_at,220757_s_at
0.348,6.549482758564437e-35,204373_s_at,209395_at
0.348,6.549482758564437e-35,201989_s_at,209395_at
0.348,6.570926519385464e-35,209395_at,213924_at
0.348,6.62463112184851e-35,201005_at,209395_at
0.348,6.667367293147678e-35,208835_s_at,209395_at
0.348,6.828818242384253e-35,205842_s_at,209395_at
0.348,6.971100334134715e-35,203579_s_at,209395_at
0.348,7.017191671851277e-35,201895_at,209395_at
0.348,7.120486809025919e-35,203391_at,209395_at
0.348,7.168085864505621e-35,203327_at,209395_at
0.348,7.176246955598447e-35,202739_s_at,209395_at
0.348,7.260227896428467e-35,209395_at,221845_s_at
0.348,7.668042521329695e-35,209079_x_at,209395_at
0.348,7.794310942945543e-35,209395_at,212157_at
0.348,7.861048988390392e-35,201280_s_at,209395_at
0.348,7.946223582573052e-35,209395_at,219884_at
0.348,7.954559207563673e-35,201499_s_at,209395_at
0.348,7.980735434495795e-35,204477_at,209395_at
0.348,7.999330971749796e-35,209395_at,219052_at
0.348,8.101705654785981e-35,209395_at,220027_s_at
0.348,8.137539414030173e-35,209395_at,213216_at
0.348,8.14287509501802e-35,208928_at,209395_at
0.348,8.145735972022419e-35,209395_at,218290_at
0.348,8.145735972022419e-35,201918_at,209395_at
0.348,8.261845058397052e-35,209395_at,212499_s_at
0.348,8.311627557151074e-35,208861_s_at,209395_at
0.347,8.407863652532687e-35,209395_at,33778_at
0.347,8.427570932161407e-35,201226_at,209395_at
0.347,8.505301846290724e-35,209395_at,209661_at
0.347,8.68487926944359e-35,209395_at,218199_s_at
0.347,8.772880637382933e-35,209395_at,213297_at
0.347,8.913910087932652e-35,209395_at,218659_at
0.347,8.917006574808091e-35,209395_at,212994_at
0.347,8.973845160080932e-35,209395_at,209753_s_at
0.347,9.084183790667479e-35,209395_at,41644_at
0.347,9.201144067545637e-35,209375_at,209395_at
0.347,9.243388583756119e-35,209395_at,212006_at
0.347,9.375860329043263e-35,202082_s_at,209395_at
0.347,9.45610988252042e-35,203214_x_at,209395_at
0.347,9.465537064443605e-35,203055_s_at,209395_at
0.347,9.547232410919835e-35,209395_at,211505_s_at
0.347,9.561391135199962e-35,209395_at,211988_at
0.347,9.726869333944657e-35,209395_at,215750_at
0.347,9.733025703556658e-35,209395_at,219261_at
0.347,9.7808109064154e-35,209395_at,219787_s_at
0.347,9.895534603539248e-35,209395_at,216387_x_at
0.347,9.899901941030023e-35,209395_at,220418_at
0.347,9.910334548421473e-35,202874_s_at,209395_at
0.347,9.933655402098905e-35,208706_s_at,209395_at
0.347,1.002576017636589e-34,204678_s_at,209395_at
0.347,1.0086859112336086e-34,209395_at,219320_at
0.347,1.0259598312248948e-34,205571_at,209395_at
0.347,1.0469000374421e-34,209395_at,218669_at
0.347,1.0516628398168588e-34,208938_at,209395_at
0.347,1.0653858802605083e-34,201694_s_at,209395_at
0.347,1.0660383088805006e-34,204313_s_at,209395_at
0.347,1.082168430193257e-34,204133_at,209395_at
0.347,1.0844113368542214e-34,209395_at,221311_x_at
0.347,1.0878527472774102e-34,209395_at,212300_at
0.347,1.0932709404378502e-34,209395_at,210685_s_at
0.347,1.101949863007821e-34,209395_at,214316_x_at
0.347,1.1192075475633914e-34,203940_s_at,209395_at
0.347,1.1259154296974697e-34,209395_at,209481_at
0.347,1.1349208931639507e-34,209395_at,218046_s_at
0.347,1.147039143832266e-34,204183_s_at,209395_at
0.347,1.1541770258934476e-34,204849_at,209395_at
0.347,1.162573865758059e-34,209395_at,212907_at
0.347,1.1643436153436921e-34,206038_s_at,209395_at
0.347,1.1766630791639579e-34,203380_x_at,209395_at
0.347,1.184174605477491e-34,201621_at,209395_at
0.347,1.2077644881440734e-34,201866_s_at,209395_at
0.347,1.2366209067311483e-34,209395_at,219036_at
0.347,1.2434736849633118e-34,209395_at,218155_x_at
0.347,1.246670801265347e-34,201483_s_at,209395_at
0.347,1.2509749337994145e-34,209395_at,214107_x_at
0.347,1.2560850114870332e-34,209395_at,217362_x_at
0.347,1.2612475143642106e-34,208319_s_at,209395_at
0.347,1.2648338966547942e-34,209395_at,219374_s_at
0.347,1.2720874335602774e-34,202520_s_at,209395_at
0.347,1.275789092095912e-34,203910_at,209395_at
0.347,1.2914047485852045e-34,206833_s_at,209395_at
0.347,1.3074343967970355e-34,209395_at,218764_at
0.347,1.3284951367819114e-34,209395_at,217941_s_at
0.346,1.33886761466752e-34,209395_at,209803_s_at
0.346,1.3433465706260272e-34,209395_at,212090_at
0.346,1.3458670328001976e-34,203304_at,209395_at
0.346,1.369191217528981e-34,203093_s_at,209395_at
0.346,1.3801305789417193e-34,209130_at,209395_at
0.346,1.407874665800335e-34,209395_at,213918_s_at
0.346,1.4157226794472559e-34,209395_at,50374_at
0.346,1.4246843168018177e-34,209395_at,216252_x_at
0.346,1.4282906119843529e-34,209395_at,220052_s_at
0.346,1.4455570017371128e-34,209395_at,221647_s_at
0.346,1.4605750179861827e-34,209395_at,215925_s_at
0.346,1.4927285369729917e-34,209395_at,209434_s_at
0.346,1.5015180937438093e-34,201521_s_at,209395_at
0.346,1.5166737292333123e-34,209395_at,213015_at
0.346,1.5245041800948526e-34,209395_at,212824_at
0.346,1.526656007545079e-34,200623_s_at,209395_at
0.346,1.5462691419120504e-34,209395_at,210104_at
0.346,1.5535334714427352e-34,209395_at,216920_s_at
0.346,1.5637567459489836e-34,209395_at,53912_at
0.346,1.5807656339074513e-34,209395_at,34187_at
0.346,1.5924530129252973e-34,209395_at,209724_s_at
0.346,1.5990662672840723e-34,203926_x_at,209395_at
0.346,1.60770090301203e-34,209395_at,212124_at
0.346,1.6101652017363198e-34,209395_at,209881_s_at
0.346,1.6165136332387458e-34,207386_at,209395_at
0.346,1.6323861598046205e-34,209395_at,222271_at
0.346,1.637132714311562e-34,209395_at,219486_at
0.346,1.6392401000088486e-34,209395_at,222182_s_at
0.346,1.6412710217329311e-34,209395_at,211434_s_at
0.346,1.6438192833406326e-34,209395_at,219072_at
0.346,1.6508010523322983e-34,209395_at,211733_x_at
0.346,1.670318466958581e-34,209395_at,218777_at
0.346,1.6781614038565987e-34,209395_at,219420_s_at
0.346,1.692894805730267e-34,209394_at,209395_at
0.346,1.6946369530280348e-34,209395_at,216594_x_at
0.346,1.7483473376013664e-34,209395_at,91684_g_at
0.346,1.7670063998912739e-34,209395_at,214063_s_at
0.346,1.767534449827258e-34,209395_at,210880_s_at
0.346,1.7695861525365972e-34,201334_s_at,209395_at
0.346,1.7744697741145078e-34,209395_at,217336_at
0.346,1.7780196619348533e-34,200695_at,209395_at
0.346,1.8242007895727072e-34,201104_x_at,209395_at
0.346,1.8273324498935827e-34,209395_at,218189_s_at
0.346,1.8666699808635035e-34,209395_at,222037_at
0.346,1.86759624475998e-34,209395_at,212641_at
0.346,1.8790103087265367e-34,209395_at,216449_x_at
0.346,1.8999868260045826e-34,209395_at,214845_s_at
0.346,1.9000870331918379e-34,203303_at,209395_at
0.346,1.902087588762984e-34,204630_s_at,209395_at
0.346,1.9177464117641232e-34,209395_at,219740_at
0.346,1.9315847684775385e-34,203820_s_at,209395_at
0.346,1.942113007056112e-34,209395_at,219825_at
0.346,1.9445981251228257e-34,201449_at,209395_at
0.346,1.9480531596891724e-34,209356_x_at,209395_at
0.346,1.9582165105886825e-34,209395_at,219822_at
0.346,1.9932685188397464e-34,209395_at,213853_at
0.346,2.0051287758761566e-34,209395_at,212777_at
0.346,2.0301204086855445e-34,203552_at,209395_at
0.346,2.033774828571851e-34,209395_at,213422_s_at
0.346,2.0505807533474494e-34,209019_s_at,209395_at
0.346,2.0712801873129063e-34,201917_s_at,209395_at
0.346,2.071489039061105e-34,209395_at,211679_x_at
0.346,2.0745599391935223e-34,209395_at,211466_at
0.346,2.0788846707369488e-34,209395_at,40562_at
0.346,2.094817707938955e-34,209395_at,214194_at
0.345,2.1373771496375217e-34,209395_at,221483_s_at
0.345,2.155360332840261e-34,209395_at,212888_at
0.345,2.1566044429097166e-34,209395_at,212518_at
0.345,2.1712276115774448e-34,209395_at,34225_at
0.345,2.180980126632843e-34,209395_at,217497_at
0.345,2.1843022058357733e-34,209395_at,221582_at
0.345,2.265614415076977e-34,208877_at,209395_at
0.345,2.2673670525655267e-34,209395_at,220947_s_at
0.345,2.276922342733913e-34,209395_at,221984_s_at
0.345,2.2775437979910096e-34,209395_at,215577_at
0.345,2.285697116396677e-34,205383_s_at,209395_at
0.345,2.3447039513102347e-34,209395_at,53987_at
0.345,2.368822287906874e-34,209395_at,212818_s_at
0.345,2.4133898785664756e-34,209395_at,217806_s_at
0.345,2.443160716893122e-34,209395_at,218629_at
0.345,2.4650154217229e-34,209395_at,212647_at
0.345,2.4682398460465582e-34,205434_s_at,209395_at
0.345,2.4794539311416417e-34,204469_at,209395_at
0.345,2.4835630524566267e-34,209395_at,213161_at
0.345,2.498284864417975e-34,209395_at,212782_x_at
0.345,2.531841794273842e-34,202738_s_at,209395_at
0.345,2.538531645565227e-34,209395_at,215446_s_at
0.345,2.53910541346728e-34,200049_at,209395_at
0.345,2.5550057168396636e-34,204518_s_at,209395_at
0.345,2.5707211262720084e-34,209395_at,51774_s_at
0.345,2.608301991746239e-34,209395_at,213835_x_at
0.345,2.6182143769390666e-34,209395_at,213939_s_at
0.345,2.6315465442479563e-34,203825_at,209395_at
0.345,2.640473255697482e-34,203630_s_at,209395_at
0.345,2.6416887226309625e-34,209395_at,219231_at
0.345,2.65327183925455e-34,209395_at,36004_at
0.345,2.6746919238530947e-34,209395_at,212094_at
0.345,2.713913051769377e-34,209395_at,215553_x_at
0.345,2.781518158062016e-34,209395_at,219351_at
0.345,2.807112960612329e-34,209360_s_at,209395_at
0.345,2.8175236101804137e-34,209395_at,220413_at
0.345,2.8577064372415614e-34,209395_at,218519_at
0.345,2.884765322510723e-34,209395_at,218579_s_at
0.345,2.9761441616891824e-34,209395_at,212178_s_at
0.345,3.021519051568334e-34,209395_at,221286_s_at
0.345,3.0458152971492756e-34,209395_at,221943_x_at
0.345,3.0616266269126086e-34,209395_at,214444_s_at
0.345,3.1113861905990227e-34,209395_at,212068_s_at
0.345,3.1122580553682877e-34,202380_s_at,209395_at
0.345,3.1293693325710333e-34,209395_at,219869_s_at
0.345,3.1304149501428734e-34,209395_at,218139_s_at
0.345,3.1340297055173204e-34,201247_at,209395_at
0.345,3.137836402201662e-34,209395_at,213779_at
0.345,3.1796438123546375e-34,203283_s_at,209395_at
0.345,3.1957773431011836e-34,209395_at,214783_s_at
0.345,3.204218324413194e-34,203344_s_at,209395_at
0.345,3.2440946823966375e-34,209395_at,212984_at
0.345,3.2648822832607933e-34,202994_s_at,209395_at
0.345,3.2976074316663207e-34,200847_s_at,209395_at
0.345,3.3364710660348016e-34,209395_at,212817_at
0.345,3.36405153714029e-34,209395_at,213977_s_at
0.344,3.3972228190889085e-34,202227_s_at,209395_at
0.344,3.3991804044530015e-34,204342_at,209395_at
0.344,3.401920739669776e-34,200764_s_at,209395_at
0.344,3.412749676519526e-34,203204_s_at,209395_at
0.344,3.4146574858566434e-34,209395_at,213258_at
0.344,3.4753504551141576e-34,202152_x_at,209395_at
0.344,3.478716990489256e-34,209395_at,221902_at
0.344,3.493356467937269e-34,209395_at,36936_at
0.344,3.5009681991676825e-34,207071_s_at,209395_at
0.344,3.5187559067231314e-34,201314_at,209395_at
0.344,3.5319001802520365e-34,202405_at,209395_at
0.344,3.552696972979735e-34,209395_at,44696_at
0.344,3.565602499167639e-34,209395_at,219233_s_at
0.344,3.629447312481628e-34,209395_at,212601_at
0.344,3.643792755358736e-34,202688_at,209395_at
0.344,3.6845920630044137e-34,209395_at,209796_s_at
0.344,3.687194825970116e-34,209158_s_at,209395_at
0.344,3.751134153846039e-34,205114_s_at,209395_at
0.344,3.8157512246617316e-34,209395_at,215482_s_at
0.344,3.8514816685628422e-34,209395_at,52169_at
0.344,3.8824496333828874e-34,202596_at,209395_at
0.344,3.9453162277783944e-34,201059_at,209395_at
0.344,4.026851383684207e-34,209395_at,212402_at
0.344,4.047988386259434e-34,209395_at,221855_at
0.344,4.075924440807569e-34,209395_at,210417_s_at
0.344,4.088949360339746e-34,209395_at,219906_at
0.344,4.08976263964171e-34,209395_at,210676_x_at
0.344,4.167141720796812e-34,209395_at,218739_at
0.344,4.284177569534662e-34,209395_at,217974_at
0.344,4.335614653189605e-34,201194_at,209395_at
0.344,4.336343466986835e-34,207856_s_at,209395_at
0.344,4.413538459430253e-34,208973_at,209395_at
0.344,4.430125617149377e-34,209395_at,218462_at
0.344,4.45922032329801e-34,209395_at,210978_s_at
0.344,4.469507170100212e-34,203225_s_at,209395_at
0.344,4.521592577886205e-34,209395_at,218428_s_at
0.344,4.549991897533836e-34,209395_at,219507_at
0.344,4.66275691499348e-34,200688_at,209395_at
0.344,4.6667723774726185e-34,204914_s_at,209395_at
0.344,4.795999336257271e-34,209395_at,219177_at
0.344,4.8543556687391805e-34,209395_at,217152_at
0.344,4.855548853121947e-34,209395_at,214683_s_at
0.344,4.949983163153445e-34,206879_s_at,209395_at
0.344,5.094505040408771e-34,209395_at,217737_x_at
0.344,5.105335955898811e-34,205089_at,209395_at
0.344,5.13731257761978e-34,204234_s_at,209395_at
0.344,5.1715641511998555e-34,202569_s_at,209395_at
0.344,5.175446462980104e-34,204298_s_at,209395_at
0.344,5.201196147074052e-34,209395_at,218167_at
0.344,5.237414323029563e-34,209395_at,213675_at
0.344,5.248701032968853e-34,209395_at,218644_at
0.344,5.258149965542664e-34,209395_at,217094_s_at
0.344,5.295046398567383e-34,205219_s_at,209395_at
0.343,5.374616494522465e-34,209395_at,209916_at
0.343,5.427920694557554e-34,209395_at,218696_at
0.343,5.430949496790914e-34,208290_s_at,209395_at
0.343,5.432868006306212e-34,203103_s_at,209395_at
0.343,5.552602883531664e-34,207979_s_at,209395_at
0.343,5.5662120380818246e-34,205122_at,209395_at
0.343,5.649833213817422e-34,209395_at,221729_at
0.343,5.6532999337914326e-34,209395_at,210372_s_at
0.343,5.696356942381255e-34,209395_at,217890_s_at
0.343,5.722718480905391e-34,209395_at,216251_s_at
0.343,5.752224834454377e-34,203845_at,209395_at
0.343,5.81239163933814e-34,203593_at,209395_at
0.343,5.856210420703234e-34,209395_at,211139_s_at
0.343,5.917252026005834e-34,207922_s_at,209395_at
0.343,5.96146271406681e-34,209395_at,212652_s_at
0.343,6.033011210062183e-34,203024_s_at,209395_at
0.343,6.0632777088392614e-34,209262_s_at,209395_at
0.343,6.2121321183752785e-34,208732_at,209395_at
0.343,6.214235130053648e-34,202711_at,209395_at
0.343,6.2337332829604116e-34,209395_at,215006_at
0.343,6.296290430417745e-34,204887_s_at,209395_at
0.343,6.41450967402652e-34,209395_at,211934_x_at
0.343,6.425737245628436e-34,202919_at,209395_at
0.343,6.5657424763612934e-34,209395_at,212775_at
0.343,6.666931447380589e-34,209395_at,220495_s_at
0.343,6.670004826103697e-34,209234_at,209395_at
0.343,6.710773563325553e-34,202491_s_at,209395_at
0.343,6.7499970517736435e-34,205811_at,209395_at
0.343,6.753010356853843e-34,208443_x_at,209395_at
0.343,6.796751120139576e-34,209395_at,213083_at
0.343,6.8759642572554425e-34,204842_x_at,209395_at
0.343,6.962366423217284e-34,202178_at,209395_at
0.343,7.106142553230832e-34,208937_s_at,209395_at
0.343,7.193420662072076e-34,209395_at,219038_at
0.343,7.213753265309251e-34,209395_at,209439_s_at
0.343,7.2658840087227415e-34,203798_s_at,209395_at
0.343,7.299740707372294e-34,201099_at,209395_at
0.343,7.3111531401361146e-34,209395_at,217830_s_at
0.343,7.3111531401361146e-34,204979_s_at,209395_at
0.343,7.341478807628183e-34,209395_at,212486_s_at
0.343,7.418374514584244e-34,202007_at,209395_at
0.343,7.629737531395131e-34,209395_at,36084_at
0.343,7.656913392224563e-34,201473_at,209395_at
0.343,7.6656388240611274e-34,209395_at,221515_s_at
0.343,7.704518413883087e-34,208476_s_at,209395_at
0.343,7.705240318630381e-34,209395_at,37860_at
0.343,7.822051927240669e-34,209395_at,209463_s_at
0.343,7.880964072069323e-34,209395_at,210645_s_at
0.343,7.88217874078005e-34,209147_s_at,209395_at
0.343,7.911491709614975e-34,209395_at,221747_at
0.343,7.930108572065324e-34,208907_s_at,209395_at
0.343,7.943047522324255e-34,209395_at,214693_x_at
0.343,8.108241167581721e-34,209395_at,220789_s_at
0.343,8.128455975061547e-34,209395_at,52975_at
0.343,8.170867145474544e-34,209395_at,39402_at
0.343,8.266897182039509e-34,209395_at,217844_at
0.343,8.270931991691825e-34,205412_at,209395_at
0.343,8.289188431717176e-34,201711_x_at,209395_at
0.343,8.312025010305513e-34,204137_at,209395_at
0.343,8.330909746141287e-34,209395_at,221556_at
0.343,8.355497969802911e-34,1007_s_at,209395_at
0.342,8.480426567465878e-34,203356_at,209395_at
0.342,8.635804261274469e-34,205485_at,209395_at
0.342,8.739978789719574e-34,209395_at,212615_at
0.342,8.81804543654545e-34,209395_at,35974_at
0.342,8.861869862948918e-34,209395_at,220942_x_at
0.342,8.948641954764616e-34,209275_s_at,209395_at
0.342,8.976348423229077e-34,209350_s_at,209395_at
0.342,8.997733486400904e-34,209395_at,217927_at
0.342,9.222570101595839e-34,201714_at,209395_at
0.342,9.281235382230583e-34,201849_at,209395_at
0.342,9.331648500284451e-34,209395_at,222033_s_at
0.342,9.358345530444689e-34,209395_at,217794_at
0.342,9.358345530444689e-34,209395_at,45828_at
0.342,9.384975811825238e-34,209395_at,210284_s_at
0.342,9.519930900981308e-34,203206_at,209395_at
0.342,9.533396011311964e-34,208839_s_at,209395_at
0.342,9.879803294985259e-34,205658_s_at,209395_at
0.342,1.0019607428258517e-33,202386_s_at,209395_at
0.342,1.0039689117095077e-33,209395_at,212759_s_at
0.342,1.0048847107909794e-33,208792_s_at,209395_at
0.342,1.0095569860268688e-33,209395_at,217942_at
0.342,1.0099682158580099e-33,208715_at,209395_at
0.342,1.0208277238408417e-33,209395_at,210511_s_at
0.342,1.032305040001009e-33,204444_at,209395_at
0.342,1.0353022461774685e-33,209395_at,209699_x_at
0.342,1.0389871027162347e-33,209395_at,212822_at
0.342,1.0461667284368504e-33,202296_s_at,209395_at
0.342,1.0728198896130968e-33,209395_at,210300_at
0.342,1.0974564345221212e-33,209395_at,214714_at
0.342,1.107062122756845e-33,209395_at,213504_at
0.342,1.1100934859438839e-33,209395_at,213937_s_at
0.342,1.1118164381372466e-33,209395_at,209527_at
0.342,1.1295140827412617e-33,203459_s_at,209395_at
0.342,1.1351895116713966e-33,209054_s_at,209395_at
0.342,1.1565399892017282e-33,209395_at,214274_s_at
0.342,1.1626269702126332e-33,209395_at,213070_at
0.342,1.1631768638046792e-33,209395_at,218446_s_at
0.342,1.1708382175817486e-33,208874_x_at,209395_at
0.342,1.1720589018280872e-33,209395_at,216698_x_at
0.342,1.2111863064613402e-33,201498_at,209395_at
0.342,1.2199319650631576e-33,204031_s_at,209395_at
0.342,1.2199319650631576e-33,200803_s_at,209395_at
0.342,1.2215370513081554e-33,209395_at,220741_s_at
0.342,1.2289679168960402e-33,209395_at,217860_at
0.342,1.2363299515559395e-33,209395_at,216228_s_at
0.342,1.2377242706003927e-33,209395_at,214016_s_at
0.342,1.238490612795852e-33,202930_s_at,209395_at
0.342,1.2444616013234486e-33,209395_at,214430_at
0.342,1.2599590078147936e-33,209395_at,221820_s_at
0.342,1.2695604365857198e-33,209395_at,218574_s_at
0.342,1.274658296567302e-33,209395_at,217928_s_at
0.342,1.2870542707845706e-33,209395_at,219480_at
0.342,1.2994516741191007e-33,209395_at,214560_at
0.342,1.2994532111918197e-33,209395_at,213041_s_at
0.342,1.30362408665003e-33,209395_at,210020_x_at
0.342,1.3044742734311044e-33,206181_at,209395_at
0.342,1.3149115439464398e-33,209325_s_at,209395_at
0.342,1.3264919552880706e-33,209395_at,217371_s_at
0.341,1.3371257473529312e-33,203822_s_at,209395_at
0.341,1.342846427105214e-33,209395_at,213026_at
0.341,1.3589825170784939e-33,209395_at,219178_at
0.341,1.3698061383391074e-33,209395_at,219865_at
0.341,1.3699685572715008e-33,209331_s_at,209395_at
