,Model,Accuracy,Precision,Recall,F1_score,AUC_ROC
0,Ensebling_hard,0.6560196560196561,0.6,0.18120805369127516,0.27835051546391754,not applicable
1,Ensembling_soft,0.6265356265356266,0.4845360824742268,0.31543624161073824,0.3821138211382114,0.5921127932989959
